institución,localidad,carrera,activa_inactiva,codigo_actual,nuevo_codigo
ACADEMIA MILITAR DE VENEZUELA,CARACAS,CIENCIAS Y ARTES MILITARES OPCIÓN TERRESTRE,inactiva,52,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CAGUA,ADMINISTRACION DE ADUANAS,activa,2405,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CAGUA,ADMINISTRACIÓN ADUANERA (TÉCNICA),inactiva,2404,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CAGUA,ADMINISTRACIÓN DE EMPRESAS (TÉCNICA),activa,2398,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CAGUA,ADMINISTRACIÓN DE RECURSOS HUMANOS (TÉCNICA),activa,2402,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CAGUA,CONTADURÍA (TÉCNICA),activa,2401,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CAGUA,INFORMÁTICA (TÉCNICA),activa,2399,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CAGUA,MERCADOTECNIA,activa,2403,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CAGUA,PREESCOLAR (TÉCNICA),activa,2400,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CAGUA,TURISMO MENCIÓN HOTELERÍA (TÉCNICA),activa,2406,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CALABOZO,ADMINISTRACIÓN DE EMPRESAS (TÉCNICA),activa,2395,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CALABOZO,CONTADURÍA (TÉCNICA),activa,2397,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CALABOZO,INFORMÁTICA (TÉCNICA),activa,2393,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CALABOZO,MERCADOTECNIA,activa,2396,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CALABOZO,PREESCOLAR (TÉCNICA),activa,2394,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CARACAS,ADMINISTRACION DE ADUANAS,activa,2429,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CARACAS,ADMINISTRACIÓN ADUANERA (TÉCNICA),inactiva,2428,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CARACAS,ADMINISTRACIÓN DE EMPRESAS (TÉCNICA),activa,2425,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CARACAS,ADMINISTRACIÓN DE RECURSOS HUMANOS (TÉCNICA),activa,2424,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CARACAS,CONTADURÍA (TÉCNICA),activa,2427,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CARACAS,INFORMÁTICA (TÉCNICA),activa,2423,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CARACAS,MERCADOTECNIA,activa,2426,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CARACAS,PREESCOLAR (TÉCNICA),activa,2430,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,GUACARA,ADMINISTRACION DE ADUANAS,activa,2421,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,GUACARA,ADMINISTRACIÓN DE EMPRESAS (TÉCNICA),activa,2418,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,GUACARA,ADMINISTRACIÓN DE RECURSOS HUMANOS (TÉCNICA),activa,2417,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,GUACARA,CONTADURÍA (TÉCNICA),activa,2420,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,GUACARA,INFORMÁTICA (TÉCNICA),activa,2415,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,GUACARA,MERCADOTECNIA,activa,2419,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,GUACARA,PREESCOLAR (TÉCNICA),activa,2416,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,GUACARA,TURISMO MENCIÓN HOTELERÍA (TÉCNICA),activa,2422,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,PUERTO CABELLO,ADMINISTRACION DE ADUANAS,activa,2414,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,PUERTO CABELLO,ADMINISTRACIÓN DE EMPRESAS (TÉCNICA),activa,2411,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,PUERTO CABELLO,ADMINISTRACIÓN DE RECURSOS HUMANOS (TÉCNICA),activa,2410,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,PUERTO CABELLO,CONTADURÍA (TÉCNICA),activa,2409,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,PUERTO CABELLO,INFORMÁTICA (TÉCNICA),activa,2407,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,PUERTO CABELLO,MERCADOTECNIA,activa,2413,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,PUERTO CABELLO,PREESCOLAR (TÉCNICA),activa,2408,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,PUERTO CABELLO,TURISMO MENCIÓN HOTELERÍA (TÉCNICA),activa,2412,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,SAN FELIPE,ADMINISTRACION DE ADUANAS,activa,2388,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,SAN FELIPE,ADMINISTRACIÓN ADUANERA (TÉCNICA),inactiva,2391,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,SAN FELIPE,ADMINISTRACIÓN DE EMPRESAS (TÉCNICA),activa,2387,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,SAN FELIPE,ADMINISTRACIÓN DE RECURSOS HUMANOS (TÉCNICA),activa,2386,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,SAN FELIPE,CONTADURÍA (TÉCNICA),activa,2390,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,SAN FELIPE,INFORMÁTICA (TÉCNICA),activa,2384,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,SAN FELIPE,MERCADOTECNIA,activa,2389,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,SAN FELIPE,PREESCOLAR (TÉCNICA),activa,2385,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,SAN FELIPE,TURISMO MENCIÓN HOTELERÍA (TÉCNICA),activa,2392,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,VALENCIA,ADMINISTRACION DE ADUANAS,activa,5192,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,VALENCIA,ADMINISTRACIÓN DE EMPRESAS (TÉCNICA),activa,5188,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,VALENCIA,ADMINISTRACIÓN DE RECURSOS HUMANOS (TÉCNICA),activa,5187,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,VALENCIA,CONTADURÍA (TÉCNICA),activa,5191,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,VALENCIA,INFORMÁTICA (TÉCNICA),activa,4165,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,VALENCIA,MERCADOTECNIA,activa,5190,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,VALENCIA,PREESCOLAR (TÉCNICA),activa,5186,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,VALENCIA,TURISMO MENCIÓN HOTELERÍA (TÉCNICA),activa,5189,
COLEGIO UNIVERSITARIO DE CARACAS,CARACAS,ADMINISTRACIÓN DE RECURSOS HUMANOS (TÉCNICA),inactiva,3852,
COLEGIO UNIVERSITARIO DE CARACAS,CARACAS,ADMINISTRACIÓN MENCIÓN PRESUPUESTO,inactiva,3851,
COLEGIO UNIVERSITARIO DE CARACAS,CARACAS,ADMINISTRACIÓN MUNICIPAL,inactiva,3854,
COLEGIO UNIVERSITARIO DE CARACAS,CARACAS,ADMINISTRACIÓN: CONTABILIDAD DE COSTOS,inactiva,3850,
COLEGIO UNIVERSITARIO DE CARACAS,CARACAS,ADMINISTRACIÓN: MERCADEO (TÉCNICA),inactiva,3853,
COLEGIO UNIVERSITARIO DE CARACAS,CARACAS,ADMINISTRACIÓN: ORGANIZACIÓN Y SISTEMAS (TÉCNICA),inactiva,3849,
COLEGIO UNIVERSITARIO DE CARACAS,CARACAS,EDUCACIÓN PREESCOLAR (TÉCNICA),inactiva,3848,
COLEGIO UNIVERSITARIO DE CARACAS,CARACAS,HOTELERÍA (TÉCNICA),inactiva,3856,
COLEGIO UNIVERSITARIO DE CARACAS,CARACAS,INFORMÁTICA (TÉCNICA),inactiva,3847,
COLEGIO UNIVERSITARIO DE CARACAS,CARACAS,PNF EN ADMINISTRACIÓN,inactiva,3858,
COLEGIO UNIVERSITARIO DE CARACAS,CARACAS,PNF EN INFORMÁTICA,inactiva,3863,
COLEGIO UNIVERSITARIO DE CARACAS,CARACAS,PNF EN SISTEMAS E INFORMÁTICA,inactiva,3861,
COLEGIO UNIVERSITARIO DE CARACAS,CARACAS,PNF EN TURISMO,inactiva,3864,
COLEGIO UNIVERSITARIO DE CARACAS,CARACAS,TRABAJO SOCIAL (TÉCNICA),inactiva,3857,
COLEGIO UNIVERSITARIO DE CARACAS,CARACAS,TURISMO MENCIÓN HOTELERÍA (TÉCNICA),inactiva,3855,
COLEGIO UNIVERSITARIO DE ENFERMERÍA CENTRO MÉDICO DE CARACAS,CARACAS.,ENFERMERÍA (TÉCNICA),activa,3788,
COLEGIO UNIVERSITARIO DE ENFERMERÍA DE LA ALCALDÍA METROPOLITANA DE CARACAS,CARACAS,ENFERMERÍA (TÉCNICA),activa,3800,
COLEGIO UNIVERSITARIO DE ENFERMERÍA DE LA CRUZ ROJA DE VENEZUELA,CARACAS,ENFERMERÍA (TÉCNICA),activa,3789,
COLEGIO UNIVERSITARIO DE PSICOPEDAGOGÍA,CARACAS,PSICOPEDAGOGÍA (TÉCNICA),activa,3779,
COLEGIO UNIVERSITARIO DE PSICOPEDAGOGÍA,EXTENSIÓN VALENCIA,INFORMÁTICA (TÉCNICA),inactiva,2234,
COLEGIO UNIVERSITARIO DE PSICOPEDAGOGÍA,EXTENSIÓN VALENCIA,PSICOPEDAGOGÍA (TÉCNICA),activa,2233,
"COLEGIO UNIVERSITARIO DE REHABILITACIÓN ""MAY HAMILTON""",CARACAS,FISIOTERAPIA (TÉCNICA),inactiva,3792,
"COLEGIO UNIVERSITARIO DE REHABILITACIÓN ""MAY HAMILTON""",CARACAS,PNF EN FISIOTERAPIA,activa,3798,
"COLEGIO UNIVERSITARIO DE REHABILITACIÓN ""MAY HAMILTON""",CARACAS,PNF EN FONOAUDIOLOGÍA,activa,3797,
"COLEGIO UNIVERSITARIO DE REHABILITACIÓN ""MAY HAMILTON""",CARACAS,PNF EN TERAPIA OCUPACIONAL,activa,3799,
"COLEGIO UNIVERSITARIO DE REHABILITACIÓN ""MAY HAMILTON""",CARACAS,PNF EN ÓRTESIS Y PRÓTESIS,activa,3796,
"COLEGIO UNIVERSITARIO DE REHABILITACIÓN ""MAY HAMILTON""",CARACAS,REHABILITACIÓN MENCIÓN FISIOTERAPIA,inactiva,3790,
"COLEGIO UNIVERSITARIO DE REHABILITACIÓN ""MAY HAMILTON""",CARACAS,REHABILITACIÓN MENCIÓN TERAPIA OCUPACIONAL,inactiva,3791,
"COLEGIO UNIVERSITARIO DE REHABILITACIÓN ""MAY HAMILTON""",CARACAS,TERAPIA OCUPACIONAL (TÉCNICA),inactiva,3793,
COLEGIO UNIVERSITARIO DR. RAFAEL BELLOSO CHACÍN,MARACAIBO,ADMINISTRACIÓN DE EMPRESAS (TÉCNICA),activa,2499,
COLEGIO UNIVERSITARIO DR. RAFAEL BELLOSO CHACÍN,MARACAIBO,ADMINISTRACIÓN DE RECURSOS FÍSICOS Y FINANCIEROS,activa,2504,
COLEGIO UNIVERSITARIO DR. RAFAEL BELLOSO CHACÍN,MARACAIBO,CONTADURÍA (TÉCNICA),activa,2498,
COLEGIO UNIVERSITARIO DR. RAFAEL BELLOSO CHACÍN,MARACAIBO,DISEÑO GRÁFICO (TÉCNICA),activa,2496,
COLEGIO UNIVERSITARIO DR. RAFAEL BELLOSO CHACÍN,MARACAIBO,EDUCACIÓN PREESCOLAR (TÉCNICA),activa,2497,
COLEGIO UNIVERSITARIO DR. RAFAEL BELLOSO CHACÍN,MARACAIBO,ELECTRÓNICA,activa,2494,
COLEGIO UNIVERSITARIO DR. RAFAEL BELLOSO CHACÍN,MARACAIBO,INFORMÁTICA (TÉCNICA),activa,2493,
COLEGIO UNIVERSITARIO DR. RAFAEL BELLOSO CHACÍN,MARACAIBO,MANTENIMIENTO INDUSTRIAL,activa,2495,
COLEGIO UNIVERSITARIO DR. RAFAEL BELLOSO CHACÍN,MARACAIBO,MERCADEO (TÉCNICA),activa,2502,
COLEGIO UNIVERSITARIO DR. RAFAEL BELLOSO CHACÍN,MARACAIBO,RELACIONES INDUSTRIALES (TÉCNICA),activa,2503,
COLEGIO UNIVERSITARIO DR. RAFAEL BELLOSO CHACÍN,MARACAIBO,TURISMO MENCIÓN HOTELERÍA (TÉCNICA),activa,2501,
COLEGIO UNIVERSITARIO FERMÍN TORO,BARQUISIMETO,ADMINISTRACIÓN DE RECURSOS FÍSICOS Y FINANCIEROS,activa,4773,
COLEGIO UNIVERSITARIO FERMÍN TORO,BARQUISIMETO,ADMINISTRACIÓN DE RECURSOS HUMANOS (TÉCNICA),activa,4774,
COLEGIO UNIVERSITARIO FERMÍN TORO,BARQUISIMETO,CONTABILIDAD COMPUTARIZADA,activa,4772,
COLEGIO UNIVERSITARIO FERMÍN TORO,BARQUISIMETO,EDUCACIÓN INTEGRAL (TÉCNICA),activa,4771,
COLEGIO UNIVERSITARIO FERMÍN TORO,BARQUISIMETO,EDUCACIÓN PREESCOLAR (TÉCNICA),activa,4770,
COLEGIO UNIVERSITARIO FERMÍN TORO,BARQUISIMETO,INFORMÁTICA (TÉCNICA),inactiva,4098,
COLEGIO UNIVERSITARIO FERMÍN TORO,BARQUISIMETO,MERCADOTECNIA,activa,4775,
COLEGIO UNIVERSITARIO FERMÍN TORO,BARQUISIMETO,MERCADOTECNIA MENCIÓN INVESTIGACIÓN DE MERCADO,inactiva,4761,
COLEGIO UNIVERSITARIO FERMÍN TORO,BARQUISIMETO,MERCADOTECNIA MENCIÓN PUBLICIDAD,inactiva,310,
COLEGIO UNIVERSITARIO FERMÍN TORO,BARQUISIMETO,ORGANIZACIÓN EMPRESARIAL (TÉCNICA),activa,4776,
COLEGIO UNIVERSITARIO FERMÍN TORO,EXTENSIÓN ACARIGUA,ADMINISTRACIÓN DE RECURSOS FÍSICOS Y FINANCIEROS,activa,4764,
COLEGIO UNIVERSITARIO FERMÍN TORO,EXTENSIÓN ACARIGUA,ADMINISTRACIÓN DE RECURSOS HUMANOS (TÉCNICA),activa,4765,
COLEGIO UNIVERSITARIO FERMÍN TORO,EXTENSIÓN ACARIGUA,CONTABILIDAD COMPUTARIZADA,activa,4769,
COLEGIO UNIVERSITARIO FERMÍN TORO,EXTENSIÓN ACARIGUA,EDUCACIÓN INTEGRAL (TÉCNICA),activa,4763,
COLEGIO UNIVERSITARIO FERMÍN TORO,EXTENSIÓN ACARIGUA,EDUCACIÓN PREESCOLAR (TÉCNICA),activa,4762,
COLEGIO UNIVERSITARIO FERMÍN TORO,EXTENSIÓN ACARIGUA,INFORMÁTICA (TÉCNICA),activa,4743,
COLEGIO UNIVERSITARIO FERMÍN TORO,EXTENSIÓN ACARIGUA,MERCADOTECNIA,activa,4766,
COLEGIO UNIVERSITARIO FERMÍN TORO,EXTENSIÓN ACARIGUA,MERCADOTECNIA MENCIÓN INVESTIGACIÓN DE MERCADO,inactiva,4767,
COLEGIO UNIVERSITARIO FERMÍN TORO,EXTENSIÓN ACARIGUA,MERCADOTECNIA MENCIÓN PUBLICIDAD,inactiva,4768,
COLEGIO UNIVERSITARIO FERMÍN TORO,EXTENSIÓN CARACAS,ADMINISTRACIÓN DE RECURSOS FÍSICOS Y FINANCIEROS,activa,3776,
COLEGIO UNIVERSITARIO FERMÍN TORO,EXTENSIÓN CARACAS,ADMINISTRACIÓN DE RECURSOS HUMANOS (TÉCNICA),activa,3777,
COLEGIO UNIVERSITARIO FERMÍN TORO,EXTENSIÓN CARACAS,CONTABILIDAD COMPUTARIZADA,activa,337,
COLEGIO UNIVERSITARIO FERMÍN TORO,EXTENSIÓN CARACAS,EDUCACIÓN INTEGRAL (TÉCNICA),activa,3775,
COLEGIO UNIVERSITARIO FERMÍN TORO,EXTENSIÓN CARACAS,EDUCACIÓN PREESCOLAR (TÉCNICA),activa,3774,
COLEGIO UNIVERSITARIO FERMÍN TORO,EXTENSIÓN CARACAS,INFORMÁTICA (TÉCNICA),activa,3773,
COLEGIO UNIVERSITARIO FERMÍN TORO,EXTENSIÓN CARACAS,MERCADOTECNIA,activa,3778,
COLEGIO UNIVERSITARIO FERMÍN TORO,EXTENSIÓN CARACAS,MERCADOTECNIA MENCIÓN INVESTIGACIÓN DE MERCADO,activa,3771,
COLEGIO UNIVERSITARIO FERMÍN TORO,EXTENSIÓN CARACAS,MERCADOTECNIA MENCIÓN PUBLICIDAD,activa,3772,
COLEGIO UNIVERSITARIO FERMÍN TORO,EXTENSIÓN CARACAS,ORGANIZACIÓN EMPRESARIAL (TÉCNICA),activa,335,
COLEGIO UNIVERSITARIO FERMÍN TORO,EXTENSIÓN GUANARE,ADMINISTRACIÓN DE RECURSOS FÍSICOS Y FINANCIEROS,activa,2230,
COLEGIO UNIVERSITARIO FERMÍN TORO,EXTENSIÓN GUANARE,ADMINISTRACIÓN DE RECURSOS HUMANOS (TÉCNICA),activa,2231,
COLEGIO UNIVERSITARIO FERMÍN TORO,EXTENSIÓN GUANARE,CONTABILIDAD COMPUTARIZADA,activa,551,
COLEGIO UNIVERSITARIO FERMÍN TORO,EXTENSIÓN GUANARE,EDUCACIÓN INTEGRAL (TÉCNICA),activa,2229,
COLEGIO UNIVERSITARIO FERMÍN TORO,EXTENSIÓN GUANARE,EDUCACIÓN PREESCOLAR (TÉCNICA),activa,2228,
COLEGIO UNIVERSITARIO FERMÍN TORO,EXTENSIÓN GUANARE,INFORMÁTICA (TÉCNICA),activa,2227,
COLEGIO UNIVERSITARIO FERMÍN TORO,EXTENSIÓN GUANARE,MERCADOTECNIA,activa,2232,
COLEGIO UNIVERSITARIO FERMÍN TORO,EXTENSIÓN GUANARE,MERCADOTECNIA MENCIÓN INVESTIGACIÓN DE MERCADO,activa,2225,
COLEGIO UNIVERSITARIO FERMÍN TORO,EXTENSIÓN GUANARE,MERCADOTECNIA MENCIÓN PUBLICIDAD,activa,2226,
COLEGIO UNIVERSITARIO FERMÍN TORO,EXTENSIÓN GUANARE,ORGANIZACIÓN EMPRESARIAL (TÉCNICA),activa,543,
COLEGIO UNIVERSITARIO FRANCISCO DE MIRANDA,CARACAS,ADMINISTRACIÓN MENCIÓN BANCA Y FINANZAS (TÉCNICA),inactiva,3836,
COLEGIO UNIVERSITARIO FRANCISCO DE MIRANDA,CARACAS,ADMINISTRACIÓN MENCIÓN RECURSOS HUMANOS,inactiva,3837,
COLEGIO UNIVERSITARIO FRANCISCO DE MIRANDA,CARACAS,ADMINISTRACIÓN MENCIÓN TRANSPORTE Y DISTRIBUCIÓN DE BIENES,inactiva,3838,
COLEGIO UNIVERSITARIO FRANCISCO DE MIRANDA,CARACAS,ADMINISTRACIÓN Y GESTIÓN DE INDUSTRIAS ENERGÉTICAS,inactiva,3839,
COLEGIO UNIVERSITARIO FRANCISCO DE MIRANDA,CARACAS,CONTADURÍA (TÉCNICA),inactiva,29,
COLEGIO UNIVERSITARIO FRANCISCO DE MIRANDA,CARACAS,INFORMÁTICA (TÉCNICA),inactiva,3835,
COLEGIO UNIVERSITARIO FRANCISCO DE MIRANDA,CARACAS,PNF EN ADMINISTRACIÓN,inactiva,3844,
COLEGIO UNIVERSITARIO FRANCISCO DE MIRANDA,CARACAS,PNF EN CONTADURÍA PÚBLICA,inactiva,3846,
COLEGIO UNIVERSITARIO FRANCISCO DE MIRANDA,CARACAS,PNF EN INFORMÁTICA,inactiva,3845,
COLEGIO UNIVERSITARIO FRANCISCO DE MIRANDA,CARACAS,PNF EN SISTEMAS E INFORMÁTICA,inactiva,3843,
COLEGIO UNIVERSITARIO HOTEL ESCUELA DE LOS ANDES VENEZOLANOS,MÉRIDA,HOTELERÍA Y SERVICIOS DE LA HOSPITALIDAD,inactiva,3261,
COLEGIO UNIVERSITARIO HOTEL ESCUELA DE LOS ANDES VENEZOLANOS,MÉRIDA,PNF EN TURISMO,inactiva,3265,
COLEGIO UNIVERSITARIO JEAN PIAGET,CARACAS,ADMINISTRACIÓN DE SALUD Y HOSPITALES,inactiva,3736,
COLEGIO UNIVERSITARIO JEAN PIAGET,CARACAS,ANIMACIÓN AMBIENTAL,activa,3780,
COLEGIO UNIVERSITARIO JEAN PIAGET,CARACAS,ENFERMERÍA (TÉCNICA),activa,3781,
COLEGIO UNIVERSITARIO JEAN PIAGET,CARACAS,PSICOPEDAGOGÍA (TÉCNICA),activa,3757,
COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,AMPLIACIÓN CABIMAS,ADMINISTRACIÓN (TÉCNICA),activa,2251,
COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,AMPLIACIÓN CABIMAS,BANCA Y FINANZAS (TÉCNICA),activa,2252,
COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,AMPLIACIÓN CABIMAS,DISEÑO AMBIENTAL,activa,2247,
COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,AMPLIACIÓN CABIMAS,DISEÑO DE JOYAS Y FANTASÍAS,activa,2253,
COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,AMPLIACIÓN CABIMAS,DISEÑO DE MODAS,activa,2246,
COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,AMPLIACIÓN CABIMAS,DISEÑO GRÁFICO PUBLICITARIO,activa,2248,
COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,AMPLIACIÓN CABIMAS,EDUCACIÓN ESPECIAL (TÉCNICA),activa,2250,
COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,AMPLIACIÓN CABIMAS,EDUCACIÓN PREESCOLAR (TÉCNICA),activa,2249,
COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,AMPLIACIÓN CABIMAS,SECRETARIADO ADMINISTRATIVO (TÉCNICA),activa,810,
COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,CARACAS,ADMINISTRACIÓN (TÉCNICA),activa,354,
COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,CARACAS,BANCA Y FINANZAS (TÉCNICA),activa,356,
COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,CARACAS,DISEÑO AMBIENTAL,activa,3784,
COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,CARACAS,DISEÑO DE JOYAS Y FANTASÍAS,activa,3782,
COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,CARACAS,DISEÑO DE MODAS,activa,3783,
COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,CARACAS,DISEÑO GRÁFICO PUBLICITARIO,activa,3785,
COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,CARACAS,EDUCACIÓN ESPECIAL (TÉCNICA),activa,3787,
COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,CARACAS,EDUCACIÓN PREESCOLAR (TÉCNICA),activa,3786,
COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,CARACAS,SECRETARIADO ADMINISTRATIVO (TÉCNICA),activa,367,
COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,EXTENSIÓN ACARIGUA,ADMINISTRACIÓN (TÉCNICA),activa,2265,
COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,EXTENSIÓN ACARIGUA,BANCA Y FINANZAS (TÉCNICA),activa,2266,
COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,EXTENSIÓN ACARIGUA,DISEÑO AMBIENTAL,activa,2262,
COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,EXTENSIÓN ACARIGUA,DISEÑO DE MODAS,activa,2261,
COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,EXTENSIÓN ACARIGUA,DISEÑO GRÁFICO PUBLICITARIO,activa,2260,
COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,EXTENSIÓN ACARIGUA,EDUCACIÓN ESPECIAL (TÉCNICA),activa,2264,
COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,EXTENSIÓN ACARIGUA,EDUCACIÓN PREESCOLAR (TÉCNICA),activa,2263,
COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,EXTENSIÓN ACARIGUA,SECRETARIADO ADMINISTRATIVO (TÉCNICA),activa,2267,
COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,EXTENSIÓN MARACAIBO,ADMINISTRACIÓN (TÉCNICA),activa,896,
COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,EXTENSIÓN MARACAIBO,BANCA Y FINANZAS (TÉCNICA),activa,878,
COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,EXTENSIÓN MARACAIBO,DISEÑO AMBIENTAL,activa,2255,
COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,EXTENSIÓN MARACAIBO,DISEÑO DE JOYAS Y FANTASÍAS,activa,2259,
COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,EXTENSIÓN MARACAIBO,DISEÑO DE MODAS,activa,2254,
COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,EXTENSIÓN MARACAIBO,DISEÑO GRÁFICO PUBLICITARIO,activa,2256,
COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,EXTENSIÓN MARACAIBO,EDUCACIÓN ESPECIAL (TÉCNICA),activa,2258,
COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,EXTENSIÓN MARACAIBO,EDUCACIÓN PREESCOLAR (TÉCNICA),activa,2257,
COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,EXTENSIÓN MARACAIBO,SECRETARIADO ADMINISTRATIVO (TÉCNICA),activa,886,
COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,EXTENSIÓN PUERTO ORDAZ,ADMINISTRACIÓN (TÉCNICA),activa,2237,
COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,EXTENSIÓN PUERTO ORDAZ,BANCA Y FINANZAS (TÉCNICA),activa,2238,
